Date : 2024-07-28 11:30:24
Directory : c:\dev\Jade
Total : 1621 files,  233987 codes, 19976 comments, 29338 blanks, all 283301 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_int_sized.cpp                 | C++        |         33 |          0 |         11 |         44 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_integer.cpp                   | C++        |        567 |          0 |        149 |        716 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_packing.cpp                   | C++        |         19 |          0 |         10 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_reciprocal.cpp                | C++        |        123 |          0 |         49 |        172 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_relational.cpp                | C++        |         75 |          0 |         32 |        107 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_uint_sized.cpp                | C++        |         33 |          0 |         11 |         44 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_ulp.cpp                       | C++        |         73 |          0 |         24 |         97 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_vec1.cpp                             | C++        |        129 |          3 |         40 |        172 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_vector_bool1.cpp                     | C++        |         80 |          0 |         25 |        105 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_vector_common.cpp                    | C++        |        282 |          0 |         81 |        363 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_vector_iec559.cpp                    | C++        |        126 |          0 |         41 |        167 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_vector_int1_sized.cpp                | C++        |         31 |          0 |         11 |         42 |
